ID	 KNN
145	195,10,136,82,73,11,62,170,131,60
146	51,135,66,54,42,180,117,90,81,104
147	175,182,165,115,161,84,111,61,45,2
148	48,133,191,43,37,85,124,40,198,0
149	23,39,33,123,103,160,127,36,108,5
150	19,167,196,185,153,90,158,95,78,72
151	156,96,55,53,69,188,107,75,74,171
152	166,143,102,118,158,153,95,185,91,167
153	158,167,152,72,95,19,166,102,143,185
154	22,88,49,101,46,94,159,138,112,13
155	174,13,138,112,47,142,88,154,94,22
156	151,96,55,188,69,53,107,75,74,171
157	15,178,61,194,45,161,35,182,110,98
158	153,152,167,72,166,95,102,19,143,118
159	101,49,17,44,65,22,177,154,46,70
160	103,123,132,39,23,38,197,149,16,108
161	45,182,61,147,157,98,115,175,165,15
162	129,171,116,99,87,53,29,183,74,180
163	21,63,83,32,8,57,6,58,100,172
164	28,192,86,56,15,60,139,157,14,178
165	115,147,84,182,175,67,161,61,80,121
166	152,143,102,118,95,158,153,91,185,167
167	19,150,196,153,158,185,95,72,78,152
168	199,111,125,2,197,38,187,175,132,147
169	97,1,31,30,57,3,186,63,64,173
170	73,11,195,120,7,82,18,145,10,62
171	162,53,116,129,99,87,188,74,29,96
172	186,64,27,32,163,8,31,58,97,57
173	6,114,3,63,21,57,1,122,100,184
174	155,13,112,47,138,142,94,154,141,88
175	147,182,165,115,111,2,161,125,84,168
176	86,137,131,56,28,192,139,164,14,50
177	44,70,94,142,65,101,141,159,58,49
178	194,157,15,35,61,110,78,161,45,182
179	128,189,93,190,5,106,68,33,36,127
180	183,29,42,105,135,87,99,198,104,124
181	9,14,110,139,193,50,72,78,178,28
182	147,161,115,165,175,61,45,84,157,98
183	29,180,87,99,105,198,42,124,116,135
184	122,100,83,6,21,63,173,17,65,71
185	95,91,196,167,150,102,153,158,19,34
186	64,172,31,97,169,30,163,57,1,63
187	59,38,168,197,132,7,199,18,120,111
188	74,96,55,156,151,53,113,171,116,51
189	93,179,128,190,106,5,33,36,127,68
190	179,189,93,128,5,68,140,106,33,127
191	48,85,37,148,43,133,124,198,79,40
192	56,60,164,28,136,86,131,137,10,62
193	9,181,50,72,14,110,118,139,158,153
194	35,178,61,157,78,15,110,161,45,182
195	73,145,170,11,82,10,136,7,120,62
196	150,167,185,19,95,90,153,91,158,34
197	38,132,199,160,123,103,168,187,16,59
198	124,43,105,37,183,42,104,180,48,191
199	168,125,111,197,2,38,132,187,175,12
